year,topic,career_phase,institution,publication_count,major,publication,title
2000,Genome Resources; Plant Genomics; Methods,Genome-era resources,MIPS / Munich,1,False,arabidopsis2000,Analysis of the genome sequence of the flowering plant Arabidopsis thaliana
2000,Transcriptomics; Plant Genomics,Genome-era resources,MIPS / Munich,1,False,dalmay2000silencing,An RNA-dependent RNA polymerase gene in Arabidopsis is required for posttranscriptional gene silencing mediated by a transgene but not by a virus
2000,Genome Resources; Plant Genomics; Methods,Genome-era resources,MIPS / Munich,1,False,eu2000chromosome3,Sequence and analysis of chromosome 3 of the plant Arabidopsis thaliana
2000,Genome Resources; Plant Genomics; Methods,Genome-era resources,MIPS / Munich,1,False,kazusa2000chromosome5,Sequence and analysis of chromosome 5 of the plant Arabidopsis thaliana
2000,Genome Resources; Plant Genomics; Bioinformatics Infrastructure; Methods,Genome-era resources,MIPS / Munich,1,True,mayer2000chromosome4,Arabidopsis genome analysis as exemplified by analysis of chromosome 4
2002,Genome Resources; Transcriptomics,Genome-era resources,MIPS / Munich,1,False,haas2002full,Full-length messenger RNA sequences greatly improve genome annotation
2002,Genome Resources; Bioinformatics Databases,Genome-era resources,MIPS / Munich,1,True,mewes2002mips,MIPS: a database for genomes and protein sequences
2002,Genome Resources; Plant Genomics; Bioinformatics Databases; Resources,Genome-era resources,MIPS / Munich,1,True,schoof2002matdb,MIPS Arabidopsis thaliana Database (MAtDB): an integrated biological knowledge resource based on the first complete plant genome
2003,Genome Resources; Transcriptomics; Plant Genomics; Methods,Comparative genomics,MIPS / Munich,1,False,brenner2003cycas,"Expressed sequence tag analysis in Cycas, the most primitive living seed plant"
2003,Genome Resources,Comparative genomics,MIPS / Munich,1,False,galagan2003neurospora,The genome sequence of the filamentous fungus Neurospora crassa
2003,Genome Resources; Transcriptomics; Population Genomics; Plant Genomics; Resources,Comparative genomics,MIPS / Munich,1,False,kota2003barley,Snipping polymorphisms from large EST collections in barley (Hordeum vulgare L.)
