id,year,title,journal,doi,category,role,career_phase
arabidopsis2000,2000,Analysis of the genome sequence of the flowering plant Arabidopsis thaliana,Nature,10.1038/35048692,Genome Resources; Plant Genomics; Methods,contributor,Genome-era resources
dalmay2000silencing,2000,An RNA-dependent RNA polymerase gene in Arabidopsis is required for posttranscriptional gene silencing mediated by a transgene but not by a virus,Cell,10.1016/s0092-8674(00)80864-8,Transcriptomics; Plant Genomics,contributor,Genome-era resources
eu2000chromosome3,2000,Sequence and analysis of chromosome 3 of the plant Arabidopsis thaliana,Nature,10.1038/35048706,Genome Resources; Plant Genomics; Methods,contributor,Genome-era resources
kazusa2000chromosome5,2000,Sequence and analysis of chromosome 5 of the plant Arabidopsis thaliana,Nature,10.1038/35048507,Genome Resources; Plant Genomics; Methods,contributor,Genome-era resources
mayer2000chromosome4,2000,Arabidopsis genome analysis as exemplified by analysis of chromosome 4,Briefings in Bioinformatics,10.1093/bib/1.4.389,Genome Resources; Plant Genomics; Bioinformatics Infrastructure; Methods,contributor,Genome-era resources
haas2002full,2002,Full-length messenger RNA sequences greatly improve genome annotation,Genome Biology,10.1186/gb-2002-3-6-research0029,Genome Resources; Transcriptomics,contributor,Genome-era resources
mewes2002mips,2002,MIPS: a database for genomes and protein sequences,Nucleic Acids Research,10.1093/nar/30.1.31,Genome Resources; Bioinformatics Databases,contributor,Genome-era resources
schoof2002matdb,2002,MIPS Arabidopsis thaliana Database (MAtDB): an integrated biological knowledge resource based on the first complete plant genome,Nucleic Acids Research,10.1093/nar/30.1.91,Genome Resources; Plant Genomics; Bioinformatics Databases; Resources,contributor,Genome-era resources
brenner2003cycas,2003,"Expressed sequence tag analysis in Cycas, the most primitive living seed plant",Genome Biology,10.1186/gb-2003-4-12-r78,Genome Resources; Transcriptomics; Plant Genomics; Methods,contributor,Comparative genomics
galagan2003neurospora,2003,The genome sequence of the filamentous fungus Neurospora crassa,Nature,10.1038/nature01554,Genome Resources,contributor,Comparative genomics
kota2003barley,2003,Snipping polymorphisms from large EST collections in barley (Hordeum vulgare L.),Molecular Genetics and Genomics,10.1007/s00438-003-0891-6,Genome Resources; Transcriptomics; Population Genomics; Plant Genomics; Resources,contributor,Comparative genomics
rudd2003est,2003,Expressed sequence tags: alternative or complement to whole genome sequences?,Trends in Plant Science,10.1016/s1360-1385(03)00131-6,Genome Resources; Transcriptomics; Plant Genomics; Reviews,first author,Comparative genomics
rudd2003sputnik,2003,Sputnik: a database platform for comparative plant genomics,Nucleic Acids Research,10.1093/nar/gkg075,Genome Resources; Comparative Genomics; Plant Genomics; Bioinformatics Infrastructure; Bioinformatics Databases; Software,first author,Comparative genomics
lai2004maize,2004,Characterization of the maize endosperm transcriptome and its comparison to the rice genome,Genome Research,10.1101/gr.2780504,Genome Resources; Transcriptomics; Plant Genomics,contributor,Comparative genomics
rudd2004smar,2004,Genome-wide in silico mapping of scaffold/matrix attachment regions in Arabidopsis suggests correlation of intragenic scaffold/matrix attachment regions with gene expression,Plant Physiology,10.1104/pp.103.037861,Genome Resources; Comparative Genomics; Transcriptomics; Plant Genomics,first author,Comparative genomics
zhang2004barley,2004,Large-scale analysis of the barley transcriptome based on expressed sequence tags,The Plant Journal,10.1111/j.1365-313x.2004.02209.x,Transcriptomics; Plant Genomics; Methods,contributor,Comparative genomics
battchikova2005ndh,2005,Identification of NdhL and Ssl1690 (NdhO) in NDH-1L and NDH-1M complexes of Synechocystis sp. PCC 6803,Journal of Biological Chemistry,10.1074/jbc.m410914200,Transcriptomics,contributor,Comparative genomics
brenner2005ginkgo,2005,EST analysis in Ginkgo biloba: an assessment of conserved developmental regulators and gymnosperm-specific genes,BMC Genomics,10.1186/1471-2164-6-143,Genome Resources; Transcriptomics; Plant Genomics; Methods,contributor,Comparative genomics
brosche2005populus,2005,Gene expression and metabolite profiling of Populus euphratica growing in the Negev desert,Genome Biology,10.1186/gb-2005-6-12-r101,Genome Resources; Plant Genomics; Methods,contributor,Comparative genomics
friedel2005svm,2005,Support vector machines for separation of mixed plant-pathogen EST collections based on codon usage,Bioinformatics,10.1093/bioinformatics/bti200,Transcriptomics; Plant Genomics; Bioinformatics Infrastructure; Methods; Machine Learning; Resources,contributor,Comparative genomics
germain2005solanum,2005,A 6374 unigene set corresponding to low abundance transcripts expressed following fertilization in Solanum chacoense and characterization of 30 receptor-like kinases,Plant Molecular Biology,10.1007/s11103-005-0536-8,Transcriptomics; Plant Genomics,contributor,Comparative genomics
laitinen2005gerbera,2005,Analysis of the floral transcriptome uncovers new regulators of organ determination and gene families related to flower organ differentiation in Gerbera hybrida (Asteraceae),Genome Research,10.1101/gr.3043705,Genome Resources; Transcriptomics; Plant Genomics; Methods,contributor,Comparative genomics
rudd2005eclair,2005,Eclair---a web service for unravelling species origin of sequences sampled from mixed host interfaces,Nucleic Acids Research,10.1093/nar/gki434,Bioinformatics Infrastructure; Software,first author,Comparative genomics
rudd2005opensputnik,2005,openSputnik---a database to ESTablish comparative plant genomics using unsaturated sequence collections,Nucleic Acids Research,10.1093/nar/gki040,Genome Resources; Comparative Genomics; Transcriptomics; Plant Genomics; Bioinformatics Databases; Software; Resources,first author,Comparative genomics
rudd2005plantmarkers,2005,PlantMarkers---a database of predicted molecular markers from plants,Nucleic Acids Research,10.1093/nar/gki074,Plant Genomics; Bioinformatics Databases,first author,Comparative genomics
technau2005cnidarians,2005,Maintenance of ancestral complexity and non-metazoan genes in two basal cnidarians,Trends in Genetics,10.1016/j.tig.2005.09.007,Transcriptomics,contributor,Comparative genomics
beldade2006bicyclus,2006,"A wing expressed sequence tag resource for Bicyclus anynana butterflies, an evo-devo model",BMC Genomics,10.1186/1471-2164-7-130,Genome Resources; Transcriptomics; Resources,contributor,Comparative genomics
bottger2006hydra,2006,Genetic screen for signal peptides in Hydra reveals novel secreted proteins and evidence for non-classical protein secretion,European Journal of Cell Biology,10.1016/j.ejcb.2006.05.007,Transcriptomics; Methods,contributor,Comparative genomics
grapes2006pig,2006,Prospecting for pig single nucleotide polymorphisms in the human genome: have we struck gold?,Journal of Animal Breeding and Genetics,10.1111/j.1439-0388.2006.00587.x,Genome Resources; Transcriptomics; Population Genomics,contributor,Comparative genomics
mracek2006oenothera,2006,"Construction, database integration, and application of an Oenothera EST library",Genomics,10.1016/j.ygeno.2006.05.010,Genome Resources; Transcriptomics; Bioinformatics Databases; Resources,contributor,Comparative genomics
tetko2006smar,2006,Spatiotemporal expression control correlates with intragenic scaffold matrix attachment regions (S/MARs) in Arabidopsis thaliana,PLOS Computational Biology,10.1371/journal.pcbi.0020021,Plant Genomics,contributor,Comparative genomics
emmersen2007triplet,2007,Separation of sequences from host-pathogen interface using triplet nucleotide frequencies,Fungal Genetics and Biology,10.1016/j.fgb.2006.11.010,Other,contributor,Comparative genomics
koutaniemi2007lignin,2007,Expression profiling of the lignin biosynthetic pathway in Norway spruce using EST sequencing and real-time RT-PCR,Plant Molecular Biology,10.1007/s11103-007-9220-5,Transcriptomics; Plant Genomics; Methods,contributor,Comparative genomics
lokko2007cassava,2007,"Characterization of an 18,166 EST dataset for cassava (Manihot esculenta Crantz) enriched for drought-responsive genes",Plant Cell Reports,10.1007/s00299-007-0378-8,Transcriptomics; Plant Genomics; Resources,contributor,Comparative genomics
pauly2007hydra,2007,"Proteomic screen in the simple metazoan Hydra identifies 14-3-3 binding proteins implicated in cellular metabolism, cytoskeletal organisation and Ca2+ signalling",BMC Cell Biology,10.1186/1471-2121-8-31,Methods,contributor,Comparative genomics
rotter2007bentgrass,2007,Analysis of EST sequences suggests recent origin of allotetraploid colonial and creeping bentgrasses,Molecular Genetics and Genomics,10.1007/s00438-007-0240-2,Genome Resources; Transcriptomics; Methods,contributor,Comparative genomics
grasso2008coral,2008,Microarray analysis identifies candidate genes for key roles in coral development,BMC Genomics,10.1186/1471-2164-9-540,Genome Resources; Methods,contributor,Applied transcriptomics
hackauf2009rye,2009,Comparative mapping of DNA sequences in rye (Secale cereale L.) in relation to the rice genome,Theoretical and Applied Genetics,10.1007/s00122-008-0906-0,Genome Resources; Comparative Genomics; Plant Genomics,contributor,Applied transcriptomics
junttila2009rna,2009,Optimization and comparison of different methods for RNA isolation for cDNA library construction from the reindeer lichen Cladonia rangiferina,BMC Research Notes,10.1186/1756-0500-2-204,Transcriptomics; Methods; Resources,senior author,Applied transcriptomics
gunaletchumy2012,2012,"Draft genome sequences of Helicobacter pylori isolates from Malaysia, cultured from patients with functional dyspepsia and gastric cancer",Journal of Bacteriology,10.1128/jb.01278-12,Genome Resources; Transcriptomics; Cancer Genomics; Clinical Genomics,contributor,Applied transcriptomics
